,id,dp1,dp2,dp3,dp4,dp5,dp6,dp7,dp8,dp9,dp10,dp11,dp12,dp13,dp14,dp15,dp16,dp17,dp18,dp19,dp20,dp21,dp22,dp23,dp24,dp25,counter,date,takes
251,53,30891,31244,31724,32291,32878,33412,33829,34092,34193,34148,33989,33764,33514,33271,33047,32844,32654,32473,32304,32157,32050,31999,32008,32072,32178,2597,2022-03-06-23-56-23.110252,A1
252,53,32302,32422,32519,32580,32598,32580,32528,32452,32363,32268,32169,32069,31970,31874,31787,31712,31654,31614,31590,31578,31577,31588,31610,31645,31691,2598,2022-03-06-23-56-23.424791,A1
253,53,31744,31798,31849,31893,31926,31951,31968,31980,31987,31986,31976,31959,31942,31946,32012,32188,32509,32987,33601,34294,34984,35591,36051,36326,36413,2599,2022-03-06-23-56-23.740147,A1
254,53,36335,36138,35875,35591,35317,35065,34833,34614,34402,34200,34017,33868,33766,33719,33724,33771,33845,33926,33994,34032,34030,33983,33897,33783,33652,2600,2022-03-06-23-56-24.099508,A1
255,53,33517,33379,33243,33108,32977,32850,32734,32631,32546,32480,32433,32404,32394,32399,32418,32447,32481,32513,32536,32548,32550,32545,32533,32514,32488,2601,2022-03-06-23-56-24.459481,A1
256,53,32454,32414,32386,32404,32513,32751,33132,33641,34226,34816,35333,35718,35940,35997,35912,35721,35467,35185,34903,34628,34363,34103,33849,33610,33402,2602,2022-03-06-23-56-24.819262,A1
257,53,33244,33153,33129,33165,33238,33326,33410,33477,33519,33531,33506,33441,33336,33195,33029,32850,32670,32494,32322,32152,31985,31824,31675,31543,31431,2603,2022-03-06-23-56-25.089665,A1
258,53,31338,31261,31196,31140,31093,31054,31019,30979,30928,30860,30774,30686,30622,30621,30723,30955,31319,31788,32310,32815,33239,33533,33676,33670,33535,2604,2022-03-06-23-56-25.404195,A1
259,53,33309,33033,32744,32469,32217,31986,31770,31571,31401,31273,31206,31206,31266,31365,31481,31594,31684,31742,31765,31754,31717,31661,31595,31523,31451,2605,2022-03-06-23-56-25.764169,A1
260,53,31378,31307,31235,31165,31099,31041,30994,30961,30942,30938,30949,30972,31004,31042,31081,31116,31144,31161,31169,31165,31158,31152,31167,31233,31391,2606,2022-03-06-23-56-26.078958,A1
261,53,31671,32087,32622,33234,33856,34416,34855,35140,35262,35239,35106,34908,34685,34466,34263,34076,33900,33728,33558,33400,33269,33179,33137,33146,33196,2607,2022-03-06-23-56-26.438864,A1
262,53,33272,33352,33420,33460,33465,33434,33372,33288,33192,33091,32989,32888,32788,32687,32584,32478,32375,32281,32204,32149,32117,32104,32105,32114,32125,2608,2022-03-06-23-56-26.755571,A1
263,53,32133,32136,32132,32118,32096,32069,32039,32010,31992,32000,32060,32210,32482,32886,33406,33998,34596,35129,35543,35808,35919,35894,35764,35567,35341,2609,2022-03-06-23-56-27.068738,A1
